Cell Line,CLO_id,bio_pref,bio_all
A431 Cells,CLO:0001591,CLO:0001591,CLO:0001591
ARPE-19,CLO:0001749,,CLO:0001749
Arabidopsis Thaliana (Arabidopsis Ecotype Col-0),NIL,,
B16-F10 Cells,CLO:0001794,CLO:0001794,CLO:0001794
B16F10 Cells,CLO:0001794,,
B16F12 cell,CLO:0001794,,
Beas-2B,CLO:0001925,,CLO:0001925
Bioni-010c cells,NIL,,
Bv2,NIL,,
CHO pgsB-618 cells,CLO:0008435,CLO:0008435,CLO:0002421;CLO:0008435
CHO-K1 cells,CLO:0002427,CLO:0002462;CLO:0002463,CLO:0002462;CLO:0002463
Calu-3 Cells,CLO:0002192,CLO:0002192,CLO:0002192
Du145 Cells,NIL,,CLO:0051536
El4,CLO:0002913,,CLO:0002913;CLO:0050166
HEK 293,CLO:0001230,,CLO:0001230;CLO:0037237
HEK-293T Cell Line,CLO:0037372,CLO:0000031,CLO:0000031;CLO:0037372
Hcc-827,NIL,,CLO:0037015
HeLa Cell,CLO:0003684,CLO:0003684,CLO:0003684
HeLa Pulc 705,CLO:0003684,,CLO:0003684;CLO:0050910
Hebc-5I,NIL,,
Huh7 Cells,CLO:0009989,CLO:0009989,CLO:0009989
Human Embryonic Kidney-Derived Cells 293Tt,CLO:0037372,,CLO:0037372;CLO:0050894
Human HCT-116,CLO:0003665,,CLO:0003665
Human SH-SY5Y,CLO:0009015,,CLO:0009015
J774.2 Mouse Macrophage Cell Lines.,CLO:0007004,CLO:0000031,CLO:0000031;CLO:0007004;CLO:0007836
Latilactobacillus Sakei,NIL,,CLO:0007247
Ln18) Cell Lines,CLO:0007362,CLO:0000031,CLO:0000031;CLO:0007919
Lovo,CLO:0007377,,CLO:0007377;CLO:0007378;CLO:0050632
Ls174T,CLO:0007403,,CLO:0007403
MDA-MB-231 Breast Cancer Cells,CLO:0007634,CLO:0002359,CLO:0002359;CLO:0007634;CLO:0037291
Many Human neoplastic cells including HeLa,CLO:0003684,,CLO:0003684;CLO:0050910
Mg63,CLO:0007699,,CLO:0050905
Mkn45,CLO:0007733,,CLO:0050797
Neuro 2A-Luc+ (Firefly Luciferase) Murine Neuroblastoma,CLO:0008154,,CLO:0003081
Nhc Cells,NIL,,
Nih 3T3,CLO:0008172,,CLO:0001345;CLO:0037261
Nih3T3 Cells,CLO:0008172,CLO:0001345,CLO:0001345
Raji Cell,CLO:0008734,CLO:0008734,CLO:0008734
SK-OV-3,CLO:0009063,,CLO:0009063
Sk-Ov-3 Cells,CLO:0009063,CLO:0009063,CLO:0009063
Skov-3,CLO:0009063,,CLO:0050428
Skov3,CLO:0009063,,
Soybean (Glycine Max),NIL,,
THP-1 Cells,CLO:0009348,CLO:0009348,CLO:0009348
U251-MG,CLO:0009456,,
U87G Cells,CLO:0009464,CLO:0003413,CLO:0003413;CLO:0009464
hCMEC/D3 Cells,CLO:0002675,CLO:0002675,CLO:0002675
4T1,CLO:0001401,,CLO:0001401
A431,CLO:0001591,,CLO:0001591;CLO:0050011;CLO:0050012
A549,CLO:0001601,,CLO:0001601;CLO:0050025
A549 Cells,CLO:0001601,CLO:0001601,CLO:0001601
Arabidopsis Thaliana,NIL,,
BT549,CLO:0002044,,
By-2 Cells,NIL,,
C166-eGFP cells,CLO:0002097,,CLO:0002097
CHO Cells,CLO:0002421,CLO:0002421,CLO:0002421
Caco-2,CLO:0002172,,CLO:0002172;CLO:0050627
Caco-2 cells,CLO:0002172,CLO:0002172,CLO:0002172
Ex Vivo Calvaria (Skull Cap),NIL,,
HEK 293T cells,CLO:0037372,,CLO:0037372
HIG-82 cells,CLO:0003752,CLO:0003752,CLO:0003752
HUVECs,CLO:0004307,,CLO:0004307
Hbmec Cell Lines,NIL,CLO:0000031;CLO:0002878,CLO:0000031;CLO:0002878
Hek-293,CLO:0001230,,CLO:0001230;CLO:0037237
Hek293T,CLO:0037372,,CLO:0037372
Hek293T Cells,CLO:0037372,CLO:0037372,CLO:0037372
Hepg2,CLO:0003704,,CLO:0003704
Ht-29,CLO:0004283,,CLO:0004283
Jurkat,CLO:0007043,,CLO:0007043;CLO:0050978;CLO:0051001
Jurkat cells,CLO:0007043,CLO:0007043,CLO:0007043
MCF7,CLO:0007606,,CLO:0007606;CLO:0050868
PBMCs,CLO:0037274,,CLO:0037274
Poplar (Hybrid Aspen Populus TremulaÃTremuloides Line T89),NIL,,
Primary Human Astrocytes,NIL,,
Sk-Ov-3,CLO:0009063,,CLO:0009063
U87,CLO:0009464,,CLO:0009464
U87 Cells,CLO:0009464,,CLO:0009464
(Hek)-293 T Cell Line,CLO:0037372,CLO:0000031,CLO:0000031;CLO:0037372
3T3-L1,CLO:0001352,,CLO:0001352
3T3-L1 Cell,CLO:0001352,CLO:0001352,CLO:0001352
A-431 Cell Line,CLO:0001591,CLO:0000031;CLO:0001592,CLO:0000031;CLO:0001592
A431 cells,CLO:0001591,CLO:0001591,CLO:0001591
A549 Cell Line,CLO:0001601,CLO:0000031;CLO:0001601,CLO:0000031;CLO:0001601
AGS cells,CLO:0001686,CLO:0001686,CLO:0001686
B16F10 Cell Line,CLO:0001794,CLO:0000031,CLO:0000031
B35,CLO:0001815,,CLO:0001815
Bbecs,NIL,,
Bcecs,NIL,,
Bcr-Abl+ Cell Line (Bv173),NIL,CLO:0000031,CLO:0000031
Bhk-21,CLO:0001965,,CLO:0001965;CLO:0051403
Bm-Nucleated Cells,CLO:0001997,,CLO:0002008;CLO:0051457
Bv-2 Cells,NIL,,
C-26,NIL,,
CHO-K1 cells (WT),CLO:0002427,CLO:0002462;CLO:0002463,CLO:0002462;CLO:0002463
CT26 mouse colon cancer cells,CLO:0002631,CLO:0002359,CLO:0002359;CLO:0007836
Caco-2 Cell Monolayer,CLO:0002172,CLO:0002172,CLO:0002172
Cardiomyocytes,CLO:0037404,,
Corneal Epithelial Cells,CLO:0000342,,CLO:0007138
Cos-7 Cells,CLO:0002597,CLO:0002597,CLO:0002597
Crl2327,NIL,,CLO:0001203;CLO:0007176
Cultured Mucosal Explants (Enterocytes),CLO:0000322,,CLO:0009447
Dcs,NIL,,
EBC-1 human squamous cell carcinoma,NIL,,CLO:0050039
Ebm-2,NIL,,
Ecs,NIL,,
Ecv304,CLO:0002881,,CLO:0002881
Egfp Expressing MCF-7 Cells,CLO:0007606,,CLO:0007606
Escherichia Coli Dh5A,NIL,,CLO:0037148
F98 Rat Glioblastoma Cells,CLO:0002992,,CLO:0002992
Fresh Tumor Tissues,NIL,,
GAG-deficient CHO-pgsA745 cells (GAGneg),CLO:0008434,,CLO:0002421
Giant Plasma Membrane Vesicles  (Gpmv)Of Mb-231,CLO:0007634,,
Giant Plasma Membrane Vesicles Derived From Embryonic Cortical Neurons Of Rat,NIL,,
Glial,NIL,,
Gram-positive bacterias,NIL,,CLO:0051145
H1299 cells,CLO:0007986,,CLO:0007986
H1650,CLO:0008007,,
H2122,CLO:0008055,,
HASMCs,NIL,,
HUVEC cells,CLO:0004307,CLO:0002878,CLO:0002878;CLO:0004307
HUVEC/U87 Cell Coculture Model,CLO:0009464,,CLO:0002742;CLO:0004307;CLO:0009447;CLO:0009464
HUVECs Cells,CLO:0004307,,CLO:0004307
Hacat Cell Lines,CLO:0000138,CLO:0000031,CLO:0000031
Hbmec Cell Monolayer,NIL,CLO:0002878,CLO:0002878
HeLa Cells (Expressing Gfp 1â10),CLO:0003684,CLO:0003684,CLO:0003684
HeLa Kyoto Cells,CLO:0003684,,CLO:0003684;CLO:0050910
HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684
Hff,CLO:0003730,,
Hpdls,NIL,,
Ht-1080 (Human Fibrosarcoma) Cells,CLO:0004266,,CLO:0004276
Ht1082,CLO:0004266,,
HuH7 cells,CLO:0009989,CLO:0009989,CLO:0009989
Human Primary Fibroblasts,CLO:0037302,,
Human tongue squamous cell carcinoma (SCC) CAL 27,CLO:0002178,,CLO:0002178
Infected With S. Agalactiae H93,NIL,,
Intestine (Caco-2 Assay),CLO:0002172,,CLO:0002172;CLO:0050627
Intralobar (Ilb) Airway Epithelial Cells,NIL,,CLO:0007138
Jurkat E6 cells,CLO:0007043,,CLO:0007043;CLO:0050978;CLO:0051001
Leaves Of Wild-Type,NIL,,
Listeria Monocytogenes,NIL,,
MDA-MB 231,CLO:0007634,,
MDA-MB-231 cells,CLO:0007634,CLO:0007634,CLO:0007634
MDA-MB233,CLO:0007634,,
MDAâMBâ231,CLO:0007634,,
MDCKII cells,CLO:0037460,,CLO:0007646;CLO:0050861
Mdck,CLO:0007646,,CLO:0007646;CLO:0050861
Mgc80-3,NIL,,
Molm-13,CLO:0009848,,CLO:0009848
Molt-4,CLO:0007825,,CLO:0007825;CLO:0050992
Mouse Embryo Fibroblasts (Mefs),CLO:0037302,,CLO:0007836
Mrc5 Cells,CLO:0007865,CLO:0002131,CLO:0002131
Murine B16F1 melanoma tumor cells,CLO:0001793,,
NCCIT cell line,CLO:0007955,CLO:0000031;CLO:0007955,CLO:0000031;CLO:0007955
Nicotiana Benthamiana Leaves,NIL,,CLO:0001926
Ocm-1 Cells,NIL,CLO:0007449,CLO:0007449
Ode Vaccine Cell Line,NIL,CLO:0000031;CLO:0008149,CLO:0000031;CLO:0008149
Olfactory Mucosa Cell Monolayer,CLO:0000322,,
P. Berghei (Pb),NIL,,
P5 DRG neurons,NIL,,
PC-3 cells,CLO:0008395,CLO:0008395,CLO:0008395
PC-3M-2B4 cells,CLO:0008395,CLO:0037242,CLO:0008395;CLO:0037242;CLO:0051535
PC3 Cells,CLO:0008395,,CLO:0008395
Plasmodium Berghei,NIL,,
Primary Mouse Embryo Fibroblasts (MEFs),CLO:0037302,,CLO:0007836
Promastigotes L. (L.) Amazonensis Ph8,NIL,,
R3 Cells.,CLO:0008713,,
RAW 264.7 Mcherry Cells,CLO:0008753,CLO:0037367,CLO:0008753;CLO:0037367
Rat Primary Neurons From 18-Day-Old Wistar Rat Embryos (E18),CLO:0000664,,CLO:0007437
Rat embryonic neurons,CLO:0000664,,
S. Pyogenes,NIL,,
SUIT-2,CLO:0037114,,CLO:0037114
Scat,NIL,,
Sco2/Cox-Deficient Fibroblasts,NIL,,
Sgc-7901 Cells.,NIL,,
Sgc7901 Cell,NIL,,
Sk-Hep-1 Cells,CLO:0009037,CLO:0009037,CLO:0009037
Smmc-7721,NIL,,
Smmc-7723,NIL,,
Standard,NIL,,
Staphylococcus Atcc 33591,NIL,,
T98,CLO:0009236,,
THP-1-Derived Macrophages,CLO:0009348,,CLO:0009348;CLO:0050999
The Gag-Deficient CHO Cells (Pgsa-745),CLO:0008434,CLO:0002421,CLO:0002421;CLO:0008434
Tko-Mef Cells,NIL,,
U 87,CLO:0009464,,
U-251Mg,CLO:0009456,,
U-87 Cell Line,CLO:0009464,CLO:0000031,CLO:0000031;CLO:0009464
U266 Mm Cells,CLO:0009457,,
Umuc3,CLO:0009487,,
Undifferentiated malignant glioma rat (F98) cell line,CLO:0002992,CLO:0000031,CLO:0000031;CLO:0002992
V79 cells,CLO:0009500,,CLO:0051573
Wild-Type E. Coli Cells,NIL,CLO:0007314,CLO:0007314
hCMEC/D3 Cells),CLO:0002675,CLO:0002675,CLO:0002675
mouse embryonic fibroblast (MEF),CLO:0037302,,
mouse embryonic fibroblast 3T3,CLO:0008172,,CLO:0001345;CLO:0037261
the neuroblastoma cell line (SK-N-SH),CLO:0009059,CLO:0000031,CLO:0000031;CLO:0009059;CLO:0050268
102R,NIL,,
16-Hbe Cells,NIL,,
293A Cells,CLO:0037237,,CLO:0001230;CLO:0037237;CLO:0050903
3T3-SV-40,CLO:0001354,,CLO:0001345;CLO:0037261
95D,NIL,,
A172 Cells,CLO:0001560,CLO:0001560,CLO:0001560
Bacterial Cells Of S. Aureus,NIL,,CLO:0007138
Balb/c 3T3 cells,CLO:0001859,CLO:0001345,CLO:0001345
Bc 5637 Cells,CLO:0001421,CLO:0001421,CLO:0001421
Boar Sperm,NIL,,
Bovine chondriocytes,NIL,,CLO:0002421
Bt-549,CLO:0002044,,CLO:0002044
C6 Cell Line,CLO:0002140,CLO:0000031;CLO:0002140,CLO:0000031;CLO:0002140
C8-D1A Cells,CLO:0002155,CLO:0002155,CLO:0002155
CHO A745,CLO:0008434,,CLO:0002421
Capan-1,CLO:0002197,,CLO:0002197
Cd4+ T Cells,NIL,,
Colo201,CLO:0002543,,CLO:0051130
Dc2.4,NIL,,
Dendritic Cells,NIL,,
Du 145 Huv-Ec-C,CLO:0004307,,CLO:0002840;CLO:0004307
E.Coli,NIL,,
ECV-304,CLO:0002881,,CLO:0002882
Erwinia Persicina,NIL,,
Gastric Cancer Cell Lines (Nugc-3,CLO:0037144,,CLO:0037144
H9C2 Cell,CLO:0003614,CLO:0002105,CLO:0002105
HBCEC,NIL,,
HDFa,NIL,,
HEK293(3),CLO:0001230,CLO:0001230,CLO:0001230;CLO:0037237
HFL-1,CLO:0003733,,CLO:0003733
Hce-T Cells,NIL,,CLO:0050405;CLO:0050406
Hct116 Crc,CLO:0003665,,CLO:0003665
HeLa Ccl-2 Cells,CLO:0003684,CLO:0007169,CLO:0003684;CLO:0007169;CLO:0050910
HeLa-EGFP654 Cells,CLO:0003684,,CLO:0003684;CLO:0050910
HeLa-Pluc705 Cells,CLO:0003684,,CLO:0003684;CLO:0009477;CLO:0050910
HeLa-Rps9Sbp,CLO:0003684,,CLO:0003684;CLO:0050910
HepG4,CLO:0003704,,
Hepatocytes,CLO:0003704,,
Hepg2 Liver Cancer Cells,CLO:0003704,CLO:0002359,CLO:0002359;CLO:0003704
Het1A,CLO:0003718,,
Ht-29-Nf-Îb-Hrgfp E5 Cells,CLO:0004283,,CLO:0004283
Ht29 Cell,CLO:0004283,,CLO:0004283
Ht29 Cells,CLO:0004283,,CLO:0004283
Human Mesenchymal Stem Cells (Mscs) Cells,NIL,,
Human Peritoneal Mesothelial Cells (Hpmcs),NIL,,CLO:0007138
Human Sperm Cells,NIL,,
Human embryonic kidney (HEK 293),CLO:0001230,,CLO:0001230;CLO:0037237
L. Monocytogenes Strain,NIL,,
Large Unilamellar Vesicles (Luvs).,NIL,,
Lo2 Normal Liver Cells,NIL,,
MCF 10A,CLO:0007599,,CLO:0007599
MCF-7 Cell Line,CLO:0007606,CLO:0000031,CLO:0000031;CLO:0007606
MCF-8,CLO:0007606,,
MDA-MB-435 cells,CLO:0007639,CLO:0001000,CLO:0001000
Mb49 Cells,NIL,,
Mcr-5,NIL,,
Mia PaCa-2,CLO:0007726,,CLO:0007726
Mia Paca-2,CLO:0007726,,CLO:0007726
Mia-Paca-2 Cell Line,CLO:0007726,CLO:0000031;CLO:0001563,CLO:0000031;CLO:0001563
MiaPaCa-2 cells,CLO:0007726,CLO:0001563,CLO:0001563
Mouse Brain Endothelial (bEnd.3) Cells.,CLO:0001928,,CLO:0001928;CLO:0007836
Mouse Escs,NIL,,CLO:0007836
Mouse macrophage-like cell line J774 A.10,CLO:0007005,CLO:0000031,CLO:0000031;CLO:0007836
Mouse macrophage-like cell line J774 A.3,CLO:0007003,CLO:0000031,CLO:0000031;CLO:0007836
Mouse macrophage-like cell line J774 A.4,CLO:0007003,CLO:0000031,CLO:0000031;CLO:0007836
Murine brain microvascular endothelial cells (BMVECs),NIL,,CLO:0007138
Murine glioma cells (C6),CLO:0002140,,
NIH 3T3 fibroblasts,CLO:0008172,,CLO:0001345;CLO:0037261
Neuronal Cells.,CLO:0000081,,CLO:0007138
Nhas Cells,NIL,,
Nhlf,NIL,,CLO:0009987
Npe,NIL,,
Nsc34 Cells,NIL,CLO:0001302,CLO:0001302
P. Aeruginosa,NIL,,
PC-3 human prostate cancerand NCTC-929 murine fibroblast cell lines,CLO:0008395,CLO:0000031,CLO:0000031;CLO:0008395;CLO:0051535
Pc12 Cell,CLO:0008392,,
Persister-Derived Bioflm Of C. Albicans,NIL,,
Porcine Buccal Tissues.,NIL,,
Primary Fibroblast Cells,CLO:0037302,,
Primary Glial,NIL,,
Primary Myocardium Cells(Mcs),NIL,,
Primary Rat Neurons,CLO:0000664,,
RAW264.7 Macrophage,CLO:0008753,,
Rat Primary Hippocampal Neuronal Cells,CLO:0000664,,CLO:0007138
Rottlerin-Treated A431 Cells,CLO:0001591,CLO:0001591,CLO:0001591
SKBR3 Cells,CLO:0037295,CLO:0037295,CLO:0037295
Serratia Grimesii,NIL,CLO:0037367,CLO:0037367
Sk-N-Sh Neuroblastoma Cells,CLO:0009059,,CLO:0009059;CLO:0050268
Smmc-7721 Cells (3D Mcts),NIL,,
Surgical Biopsy Specimens,NIL,,
Svz-Egfrviii,NIL,,
Svz-Egfrwt,NIL,,
Swine Testis Cells (St,NIL,,
Te-1,CLO:0009287,,CLO:0051369
Te-15,CLO:0009287,,CLO:0051370
Tissue From Autoptic Human Brains,NIL,,
Trabulsiella Guamensis,NIL,,CLO:0010594
Triticum Aestivum Mesophyll Protoplasts,NIL,,
U373MG Cells,CLO:0009461,CLO:0003413,CLO:0003413
U87-Mg Cells,CLO:0009464,CLO:0003413,CLO:0003413;CLO:0009464
Vrsa( Van-Resistant Enterococcus Faecalis),NIL,,
Weighing About 200 Lb),NIL,,
mouse embryonic fibroblasts (MEFs),CLO:0037302,,
rat IEC-6 cells,CLO:0004342,CLO:0004342,CLO:0004342
