Cell Line,CLO_id,ols_exact,ols_top
A431 Cells,CLO:0001591,,CLO:0001591
ARPE-19,CLO:0001749,,
Arabidopsis Thaliana (Arabidopsis Ecotype Col-0),NIL,,
B16-F10 Cells,CLO:0001794,,CLO:0001794
B16F10 Cells,CLO:0001794,,
B16F12 cell,CLO:0001794,,
Beas-2B,CLO:0001925,,CLO:0001925
Bioni-010c cells,NIL,,
Bv2,NIL,,
CHO pgsB-618 cells,CLO:0008435,,
CHO-K1 cells,CLO:0002427,,CLO:0002427
Calu-3 Cells,CLO:0002192,,
Du145 Cells,NIL,,
El4,CLO:0002913,,CLO:0002913
HEK 293,CLO:0001230,,CLO:0037353
HEK-293T Cell Line,CLO:0037372,,
Hcc-827,NIL,,
HeLa Cell,CLO:0003684,CLO:0003684,CLO:0003684
HeLa Pulc 705,CLO:0003684,,
Hebc-5I,NIL,,
Huh7 Cells,CLO:0009989,,CLO:0009989
Human Embryonic Kidney-Derived Cells 293Tt,CLO:0037372,,
Human HCT-116,CLO:0003665,,CLO:0003665
Human SH-SY5Y,CLO:0009015,,
J774.2 Mouse Macrophage Cell Lines.,CLO:0007004,,
Latilactobacillus Sakei,NIL,,
Ln18) Cell Lines,CLO:0007362,,
Lovo,CLO:0007377,,CLO:0007377
Ls174T,CLO:0007403,,CLO:0007403
MDA-MB-231 Breast Cancer Cells,CLO:0007634,,CLO:0007634
Many Human neoplastic cells including HeLa,CLO:0003684,,
Mg63,CLO:0007699,,
Mkn45,CLO:0007733,,
Neuro 2A-Luc+ (Firefly Luciferase) Murine Neuroblastoma,CLO:0008154,,
Nhc Cells,NIL,,
Nih 3T3,CLO:0008172,,CLO:0001349
Nih3T3 Cells,CLO:0008172,,CLO:0050551
Raji Cell,CLO:0008734,CLO:0008734,CLO:0008734
SK-OV-3,CLO:0009063,,CLO:0009063
Sk-Ov-3 Cells,CLO:0009063,,CLO:0009063
Skov-3,CLO:0009063,,
Skov3,CLO:0009063,,
Soybean (Glycine Max),NIL,,
THP-1 Cells,CLO:0009348,,CLO:0050999
U251-MG,CLO:0009456,,
U87G Cells,CLO:0009464,,
hCMEC/D3 Cells,CLO:0002675,,
4T1,CLO:0001401,,CLO:0001401
A431,CLO:0001591,,CLO:0001591
A549,CLO:0001601,,CLO:0001601
A549 Cells,CLO:0001601,,CLO:0001601
Arabidopsis Thaliana,NIL,,
BT549,CLO:0002044,,
By-2 Cells,NIL,,CLO:0001234
C166-eGFP cells,CLO:0002097,,
CHO Cells,CLO:0002421,,CLO:0000038
Caco-2,CLO:0002172,,
Caco-2 cells,CLO:0002172,,
Ex Vivo Calvaria (Skull Cap),NIL,,
HEK 293T cells,CLO:0037372,,CLO:0037353
HIG-82 cells,CLO:0003752,,
HUVECs,CLO:0004307,,
Hbmec Cell Lines,NIL,,
Hek-293,CLO:0001230,,CLO:0037353
Hek293T,CLO:0037372,,CLO:0037373
Hek293T Cells,CLO:0037372,,CLO:0037372
Hepg2,CLO:0003704,,CLO:0037359
Ht-29,CLO:0004283,,CLO:0004270
Jurkat,CLO:0007043,,CLO:0007043
Jurkat cells,CLO:0007043,,CLO:0007043
MCF7,CLO:0007606,,CLO:0007610
PBMCs,CLO:0037274,,
Poplar (Hybrid Aspen Populus TremulaÃTremuloides Line T89),NIL,,
Primary Human Astrocytes,NIL,,
Sk-Ov-3,CLO:0009063,,CLO:0009063
U87,CLO:0009464,,CLO:0037276
U87 Cells,CLO:0009464,,CLO:0037276
(Hek)-293 T Cell Line,CLO:0037372,,CLO:0037228
3T3-L1,CLO:0001352,,CLO:0001352
3T3-L1 Cell,CLO:0001352,CLO:0001352,CLO:0001352
A-431 Cell Line,CLO:0001591,,
A431 cells,CLO:0001591,,CLO:0001591
A549 Cell Line,CLO:0001601,,
AGS cells,CLO:0001686,,CLO:0021586
B16F10 Cell Line,CLO:0001794,,
B35,CLO:0001815,,CLO:0001815
Bbecs,NIL,,
Bcecs,NIL,,
Bcr-Abl+ Cell Line (Bv173),NIL,,
Bhk-21,CLO:0001965,,CLO:0001957
Bm-Nucleated Cells,CLO:0001997,,
Bv-2 Cells,NIL,,CLO:0002054
C-26,NIL,,CLO:0001214
CHO-K1 cells (WT),CLO:0002427,,
CT26 mouse colon cancer cells,CLO:0002631,,
Caco-2 Cell Monolayer,CLO:0002172,,
Cardiomyocytes,CLO:0037404,,CLO:0037400
Corneal Epithelial Cells,CLO:0000342,,
Cos-7 Cells,CLO:0002597,,
Crl2327,NIL,,
Cultured Mucosal Explants (Enterocytes),CLO:0000322,,
Dcs,NIL,,CL:0000782
EBC-1 human squamous cell carcinoma,NIL,,
Ebm-2,NIL,,
Ecs,NIL,,CLO:0000143
Ecv304,CLO:0002881,,CLO:0002881
Egfp Expressing MCF-7 Cells,CLO:0007606,,
Escherichia Coli Dh5A,NIL,,
F98 Rat Glioblastoma Cells,CLO:0002992,,
Fresh Tumor Tissues,NIL,,
GAG-deficient CHO-pgsA745 cells (GAGneg),CLO:0008434,,
Giant Plasma Membrane Vesicles  (Gpmv)Of Mb-231,CLO:0007634,,
Giant Plasma Membrane Vesicles Derived From Embryonic Cortical Neurons Of Rat,NIL,,
Glial,NIL,,CLO:0000158
Gram-positive bacterias,NIL,,
H1299 cells,CLO:0007986,,CLO:0007986
H1650,CLO:0008007,,CLO:0008007
H2122,CLO:0008055,,CLO:0008055
HASMCs,NIL,,
HUVEC cells,CLO:0004307,,
HUVEC/U87 Cell Coculture Model,CLO:0009464,,
HUVECs Cells,CLO:0004307,,
Hacat Cell Lines,CLO:0000138,,
Hbmec Cell Monolayer,NIL,,
HeLa Cells (Expressing Gfp 1â10),CLO:0003684,,
HeLa Kyoto Cells,CLO:0003684,,
HeLa cell,CLO:0003684,CLO:0003684,CLO:0003684
Hff,CLO:0003730,,CLO:0003730
Hpdls,NIL,,
Ht-1080 (Human Fibrosarcoma) Cells,CLO:0004266,,
Ht1082,CLO:0004266,,
HuH7 cells,CLO:0009989,,CLO:0009989
Human Primary Fibroblasts,CLO:0037302,,CLO:0037302
Human tongue squamous cell carcinoma (SCC) CAL 27,CLO:0002178,,
Infected With S. Agalactiae H93,NIL,,
Intestine (Caco-2 Assay),CLO:0002172,,
Intralobar (Ilb) Airway Epithelial Cells,NIL,,
Jurkat E6 cells,CLO:0007043,,CLO:0007045
Leaves Of Wild-Type,NIL,,
Listeria Monocytogenes,NIL,,
MDA-MB 231,CLO:0007634,,CLO:0007634
MDA-MB-231 cells,CLO:0007634,,CLO:0007634
MDA-MB233,CLO:0007634,,
MDAâMBâ231,CLO:0007634,,
MDCKII cells,CLO:0037460,,CLO:0037461
Mdck,CLO:0007646,,CLO:0007648
Mgc80-3,NIL,,
Molm-13,CLO:0009848,,
Molt-4,CLO:0007825,,
Mouse Embryo Fibroblasts (Mefs),CLO:0037302,,
Mrc5 Cells,CLO:0007865,,CLO:0050062
Murine B16F1 melanoma tumor cells,CLO:0001793,,
NCCIT cell line,CLO:0007955,,
Nicotiana Benthamiana Leaves,NIL,,
Ocm-1 Cells,NIL,,
Ode Vaccine Cell Line,NIL,,
Olfactory Mucosa Cell Monolayer,CLO:0000322,,
P. Berghei (Pb),NIL,,
P5 DRG neurons,NIL,,
PC-3 cells,CLO:0008395,,CLO:0008397
PC-3M-2B4 cells,CLO:0008395,,
PC3 Cells,CLO:0008395,,
Plasmodium Berghei,NIL,,
Primary Mouse Embryo Fibroblasts (MEFs),CLO:0037302,,
Promastigotes L. (L.) Amazonensis Ph8,NIL,,
R3 Cells.,CLO:0008713,,CLO:0008717
RAW 264.7 Mcherry Cells,CLO:0008753,,
Rat Primary Neurons From 18-Day-Old Wistar Rat Embryos (E18),CLO:0000664,,
Rat embryonic neurons,CLO:0000664,,
S. Pyogenes,NIL,,
SUIT-2,CLO:0037114,,
Scat,NIL,,DDANAT:0000404
Sco2/Cox-Deficient Fibroblasts,NIL,,
Sgc-7901 Cells.,NIL,,
Sgc7901 Cell,NIL,,
Sk-Hep-1 Cells,CLO:0009037,,CLO:0009037
Smmc-7721,NIL,,
Smmc-7723,NIL,,
Standard,NIL,,CLO:0037228
Staphylococcus Atcc 33591,NIL,,
T98,CLO:0009236,,CLO:0009258
THP-1-Derived Macrophages,CLO:0009348,,CLO:0050999
The Gag-Deficient CHO Cells (Pgsa-745),CLO:0008434,,
Tko-Mef Cells,NIL,,
U 87,CLO:0009464,,
U-251Mg,CLO:0009456,,
U-87 Cell Line,CLO:0009464,,
U266 Mm Cells,CLO:0009457,,
Umuc3,CLO:0009487,,
Undifferentiated malignant glioma rat (F98) cell line,CLO:0002992,,
V79 cells,CLO:0009500,,CLO:0009502
Wild-Type E. Coli Cells,NIL,,
hCMEC/D3 Cells),CLO:0002675,,
mouse embryonic fibroblast (MEF),CLO:0037302,,
mouse embryonic fibroblast 3T3,CLO:0008172,,
the neuroblastoma cell line (SK-N-SH),CLO:0009059,,
102R,NIL,,
16-Hbe Cells,NIL,,
293A Cells,CLO:0037237,,
3T3-SV-40,CLO:0001354,,
95D,NIL,,
A172 Cells,CLO:0001560,,CLO:0001560
Bacterial Cells Of S. Aureus,NIL,,
Balb/c 3T3 cells,CLO:0001859,,
Bc 5637 Cells,CLO:0001421,,
Boar Sperm,NIL,,
Bovine chondriocytes,NIL,,
Bt-549,CLO:0002044,,
C6 Cell Line,CLO:0002140,,
C8-D1A Cells,CLO:0002155,,CLO:0002155
CHO A745,CLO:0008434,,
Capan-1,CLO:0002197,,
Cd4+ T Cells,NIL,,CLO:0000114
Colo201,CLO:0002543,,
Dc2.4,NIL,,
Dendritic Cells,NIL,,CLO:0000103
Du 145 Huv-Ec-C,CLO:0004307,,
E.Coli,NIL,,
ECV-304,CLO:0002881,,
Erwinia Persicina,NIL,,
Gastric Cancer Cell Lines (Nugc-3,CLO:0037144,,
H9C2 Cell,CLO:0003614,,CLO:0003614
HBCEC,NIL,,
HDFa,NIL,,
HEK293(3),CLO:0001230,,CLO:0037271
HFL-1,CLO:0003733,,
Hce-T Cells,NIL,,CLO:0003662
Hct116 Crc,CLO:0003665,,
HeLa Ccl-2 Cells,CLO:0003684,,CLO:0050910
HeLa-EGFP654 Cells,CLO:0003684,,
HeLa-Pluc705 Cells,CLO:0003684,,
HeLa-Rps9Sbp,CLO:0003684,,
HepG4,CLO:0003704,,
Hepatocytes,CLO:0003704,,CLO:0003587
Hepg2 Liver Cancer Cells,CLO:0003704,,
Het1A,CLO:0003718,,
Ht-29-Nf-Îb-Hrgfp E5 Cells,CLO:0004283,,
Ht29 Cell,CLO:0004283,,CLO:0004285
Ht29 Cells,CLO:0004283,,CLO:0004285
Human Mesenchymal Stem Cells (Mscs) Cells,NIL,,CL:0000134
Human Peritoneal Mesothelial Cells (Hpmcs),NIL,,
Human Sperm Cells,NIL,,CL:0000178
Human embryonic kidney (HEK 293),CLO:0001230,,CLO:0037228
L. Monocytogenes Strain,NIL,,
Large Unilamellar Vesicles (Luvs).,NIL,,
Lo2 Normal Liver Cells,NIL,,
MCF 10A,CLO:0007599,,CLO:0007599
MCF-7 Cell Line,CLO:0007606,,
MCF-8,CLO:0007606,,
MDA-MB-435 cells,CLO:0007639,,CLO:0007638
Mb49 Cells,NIL,,
Mcr-5,NIL,,
Mia PaCa-2,CLO:0007726,,
Mia Paca-2,CLO:0007726,,
Mia-Paca-2 Cell Line,CLO:0007726,,
MiaPaCa-2 cells,CLO:0007726,,
Mouse Brain Endothelial (bEnd.3) Cells.,CLO:0001928,,
Mouse Escs,NIL,,
Mouse macrophage-like cell line J774 A.10,CLO:0007005,,
Mouse macrophage-like cell line J774 A.3,CLO:0007003,,
Mouse macrophage-like cell line J774 A.4,CLO:0007003,,
Murine brain microvascular endothelial cells (BMVECs),NIL,,
Murine glioma cells (C6),CLO:0002140,,
NIH 3T3 fibroblasts,CLO:0008172,,
Neuronal Cells.,CLO:0000081,,CLO:0000082
Nhas Cells,NIL,,
Nhlf,NIL,,
Npe,NIL,,
Nsc34 Cells,NIL,,
P. Aeruginosa,NIL,,
PC-3 human prostate cancerand NCTC-929 murine fibroblast cell lines,CLO:0008395,,
Pc12 Cell,CLO:0008392,,CLO:0008393
Persister-Derived Bioflm Of C. Albicans,NIL,,
Porcine Buccal Tissues.,NIL,,
Primary Fibroblast Cells,CLO:0037302,,CLO:0037301
Primary Glial,NIL,,CL:0000129
Primary Myocardium Cells(Mcs),NIL,,
Primary Rat Neurons,CLO:0000664,,CL:0000748
RAW264.7 Macrophage,CLO:0008753,,
Rat Primary Hippocampal Neuronal Cells,CLO:0000664,,
Rottlerin-Treated A431 Cells,CLO:0001591,,
SKBR3 Cells,CLO:0037295,,CLO:0037295
Serratia Grimesii,NIL,,
Sk-N-Sh Neuroblastoma Cells,CLO:0009059,,
Smmc-7721 Cells (3D Mcts),NIL,,
Surgical Biopsy Specimens,NIL,,
Svz-Egfrviii,NIL,,
Svz-Egfrwt,NIL,,
Swine Testis Cells (St,NIL,,
Te-1,CLO:0009287,,CLO:0009290
Te-15,CLO:0009287,,CLO:0009292
Tissue From Autoptic Human Brains,NIL,,
Trabulsiella Guamensis,NIL,,
Triticum Aestivum Mesophyll Protoplasts,NIL,,
U373MG Cells,CLO:0009461,,
U87-Mg Cells,CLO:0009464,,
Vrsa( Van-Resistant Enterococcus Faecalis),NIL,,
Weighing About 200 Lb),NIL,,
mouse embryonic fibroblasts (MEFs),CLO:0037302,,
rat IEC-6 cells,CLO:0004342,,
